id,seen,speed,direction,
41599c25,1519888253283,54.71,right,
844a9cd8,1519888289281,48.98,right,
f1920254,1519888291408,27.44,left,
2e596e8a,1519888292082,0.0,left,
47d2a88a,1519888304080,45.0,right,
8c781afd,1519888305920,48.78,right,
d73c78e2,1519888307025,51.14,right,
abbc973b,1519888317521,46.81,left,
10284531,1519888319617,46.88,left,
4b4b38ab,1519888335969,51.65,left,
af78865e,1519888342897,32.58,right,
1eca7964,1519888355699,64.52,right,
daf5a27c,1519888363632,48.85,right,
aba79c22,1519888364400,0.0,right,
dc78ccc8,1519888369042,48.85,right,
3afe4a25,1519888376784,49.11,left,
f7e4e703,1519888399375,57.14,right,
2b29b674,1519888414079,57.88,right,
adf56c0a,1519888415328,56.25,right,
3295838f,1519888434495,0.0,left,
2a99251f,1519888437760,43.11,left,
4b3c7d0f,1519888444562,43.27,left,
5fe0738c,1519888460001,48.98,right,
e47ab44c,1519888474880,0.0,left,
ac781dda,1519888475649,46.88,right,
6fd40978,1519888479104,46.81,left,
35342bf3,1519888484641,60.81,right,
2dcbe9bf,1519888524495,59.21,right,
618780ae,1519888583186,62.18,right,
744d66e6,1519888592608,51.36,left,
d35b5acc,1519888625696,40.18,left,
2656bfc7,1519888627632,40.72,left,
f283e6de,1519888628867,53.65,right,
96820174,1519888630192,53.18,right,
471d02f2,1519888640464,51.14,right,
2f0e8bb8,1519888641761,57.78,right,
05db033c,1519888659695,43.53,left,
d9ce5f8a,1519888661169,42.4,left,
cfb4946d,1519888662498,41.71,left,
b4ca93b0,1519888679473,50.78,left,
5e393830,1519888685585,24.0,right,
44349b86,1519888720194,49.05,left,
96c0ff1c,1519888732561,57.88,right,
1da98081,1519888735761,68.44,right,
a0cd4797,1519888757442,43.27,left,
23dba329,1519888770001,53.41,left,
7e2bcef2,1519888772801,56.16,left,
8371b665,1519888783010,0.0,left,
0fbf0dad,1519888783935,0.0,right,
8f92f010,1519888792081,48.85,right,
297c7665,1519888793218,50.7,right,
349d0b83,1519888794576,55.13,right,
bd559afb,1519888795744,53.18,right,
927a0313,1519888797520,51.28,right,
f8e43a51,1519888798976,46.88,left,
7f9226a4,1519888802144,50.85,right,
